id_evento,id_orgao,sigla_orgao
20230,2001,CAPADR
21515,2001,CAPADR
53354,2001,CAPADR
69430,2001,CAPADR
1208,2001,CAPADR
26890,2001,CAPADR
61312,2001,CAPADR
61947,2001,CAPADR
62520,2001,CAPADR
12739,2001,CAPADR
55243,2001,CAPADR
55279,2001,CAPADR
16102,2001,CAPADR
16602,2001,CAPADR
23827,2001,CAPADR
72349,2001,CAPADR
6694,2001,CAPADR
7542,2001,CAPADR
47914,2001,CAPADR
49824,2001,CAPADR
29517,2001,CAPADR
30874,2001,CAPADR
40177,2001,CAPADR
41614,2001,CAPADR
31024,2001,CAPADR
35380,2001,CAPADR
37243,2001,CAPADR
20010,2001,CAPADR
20796,2001,CAPADR
21690,2001,CAPADR
22435,2001,CAPADR
53066,2001,CAPADR
3677,2001,CAPADR
5513,2001,CAPADR
67818,2001,CAPADR
2888,2001,CAPADR
55428,2001,CAPADR
16745,2001,CAPADR
24681,2001,CAPADR
72421,2001,CAPADR
75147,2001,CAPADR
80558,2001,CAPADR
6460,2001,CAPADR
19186,2001,CAPADR
47239,2001,CAPADR
48541,2001,CAPADR
45271,2001,CAPADR
45637,2001,CAPADR
41127,2001,CAPADR
33015,2001,CAPADR
51285,2001,CAPADR
5732,2001,CAPADR
66831,2001,CAPADR
71482,2001,CAPADR
71479,2001,CAPADR
1036,2001,CAPADR
26820,2001,CAPADR
27721,2001,CAPADR
63183,2001,CAPADR
63840,2001,CAPADR
63926,2001,CAPADR
12612,2001,CAPADR
10999,2001,CAPADR
11318,2001,CAPADR
11956,2001,CAPADR
57062,2001,CAPADR
15057,2001,CAPADR
16727,2001,CAPADR
72841,2001,CAPADR
72805,2001,CAPADR
73252,2001,CAPADR
74903,2001,CAPADR
74850,2001,CAPADR
75124,2001,CAPADR
75980,2001,CAPADR
76488,2001,CAPADR
76386,2001,CAPADR
80006,2001,CAPADR
17897,2001,CAPADR
17890,2001,CAPADR
18200,2001,CAPADR
39132,2001,CAPADR
21370,2001,CAPADR
50692,2001,CAPADR
51423,2001,CAPADR
53215,2001,CAPADR
53943,2001,CAPADR
